         3881116 function calls (3838170 primitive calls) in 165.909 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8777    0.021    0.000    0.021    0.000 {method 'rpartition' of 'str' objects}
    847/3    0.021    0.000   51.986   17.329 <frozen importlib._bootstrap_external>:667(exec_module)
     2804    0.021    0.000    0.021    0.000 {method 'count' of 'list' objects}
       14    0.021    0.001    0.958    0.068 inspect.py:689(getmodule)
     1481    0.021    0.000    0.112    0.000 <frozen importlib._bootstrap>:163(__enter__)
      774    0.020    0.000    0.105    0.000 params_type.py:291(generate_struct_name)
      741    0.020    0.000    0.451    0.001 basic.py:1037(make_node)
     3723    0.020    0.000    0.020    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      481    0.020    0.000    1.106    0.002 elemwise.py:474(make_node)
      246    0.020    0.000    0.047    0.000 basic.py:167(__call__)
     5480    0.020    0.000    0.020    0.000 {method 'update' of 'dict' objects}
      602    0.020    0.000    0.050    0.000 _collections_abc.py:621(__eq__)
      330    0.020    0.000    0.207    0.001 optdb.py:25(register)
     3826    0.020    0.000    0.052    0.000 params_type.py:297(<genexpr>)
     1416    0.020    0.000    0.048    0.000 fg.py:204(__setup_node__)
      595    0.019    0.000    0.032    0.000 opt.py:2489(local_upcast_elemwise_constant_inputs)
     2945    0.019    0.000    0.030    0.000 {built-in method _functools.reduce}
     7012    0.019    0.000    0.020    0.000 basic.py:99(get_scalar_type)
      178    0.019    0.000    0.038    0.000 cc.py:1051(header_dirs)
       41    0.019    0.000    0.036    0.001 <frozen importlib._bootstrap_external>:1047(invalidate_caches)
      544    0.019    0.000    0.222    0.000 opt.py:1370(on_change_input)
    17023    0.019    0.000    0.019    0.000 {method 'lstrip' of 'str' objects}
      840    0.019    0.000    0.719    0.001 <frozen importlib._bootstrap_external>:482(_compile_bytecode)
      330    0.019    0.000    0.125    0.000 optdb.py:73(add_tags)
      334    0.019    0.000    0.195    0.001 _util.py:269(getargspec_no_self)
 1046/901    0.019    0.000    2.195    0.002 <frozen importlib._bootstrap>:570(module_from_spec)
     4559    0.019    0.000    0.182    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     3467    0.018    0.000    0.025    0.000 sre_parse.py:157(__getitem__)
     4868    0.018    0.000    0.042    0.000 posixpath.py:61(isabs)
       10    0.018    0.002   25.006    2.501 vm.py:1043(make_all)
      407    0.018    0.000    0.208    0.001 basic.py:211(constant)
     1057    0.018    0.000    0.053    0.000 opt.py:1513(local_elemwise_alloc)
      620    0.018    0.000    0.923    0.001 fg.py:412(change_input)
     1473    0.018    0.000    0.022    0.000 <frozen importlib._bootstrap>:74(__init__)
  606/600    0.018    0.000    0.091    0.000 opt.py:1663(local_fill_sink)
   140/10    0.017    0.000    0.341    0.034 optdb.py:93(__query__)
     5445    0.017    0.000    0.032    0.000 var.py:637(<lambda>)
     1060    0.017    0.000    0.244    0.000 graph.py:577(__init__)
      297    0.017    0.000    0.055    0.000 elemwise.py:389(__init__)
       11    0.017    0.002    0.033    0.003 enum.py:88(__new__)
      748    0.016    0.000    0.027    0.000 opt.py:1049(unpack)
